Campaign ID,Campaign Name,List or Segment Name,Delivery Rate,Total Recipients,Bounce Rate,Total Bounces,Open Rate,Unique Opens,Click Rate,Unique Clicks,Active on Site Rate,Unique Active on Site,Revenue
01JWVVP0EMFAPNMHQFVZGDJM2V,V - Launch,Kickstarter Updates,98.459%,519,1.541%,8,72.798%,372,24.07%,123,8.023%,41,N/A
01JWVVP0EMFAPNMHQFVZGDJM2V,V - Launch,Dunwich Horror Coupon Buyers [SAVE],98.698%,1075,1.302%,14,54.571000000000005%,579,8.577%,91,3.11%,33,N/A
01JWVVP0EMFAPNMHQFVZGDJM2V,V - Launch,Newsletter Prime,98.051%,52841,1.949%,1030,27.172%,14078,1.789%,927,0.5329999999999999%,276,N/A
01JWVVP0EMFAPNMHQFVZGDJM2V,V - Launch,Coupon Green Path [Verify if Coupon Received; SAVE],98.462%,520,1.538%,8,42.773%,219,6.25%,32,2.344%,12,N/A
01JWVVP0EMFAPNMHQFVZGDJM2V,V - Launch,New Subscribers,100%,10,0%,0,70%,7,30%,3,0%,0,N/A
01JWVVP0EMFAPNMHQFVZGDJM2V,V - Launch,Master List,98.04899999999999%,52893,1.951%,1032,27.211000000000002%,14112,1.799%,933,0.536%,278,N/A
01JWVVP0EMFAPNMHQFVZGDJM2V,V - Launch,Potential Purchasers,97.8%,1091,2.1999999999999997%,24,64.574%,689,20.055999999999997%,214,8.341%,89,N/A
01JWVVP0EMFAPNMHQFVZGDJM2V,V - Launch,Terror Paths Preview,98.02300000000001%,354,1.9769999999999999%,7,72.622%,252,25.072%,87,9.222%,32,N/A
01JWVVP0EMFAPNMHQFVZGDJM2V,V - Launch,RPG,97.959%,245,2.041%,5,75.417%,181,22.083%,53,8.75%,21,N/A
