Handle,Title,Variant SKU,Body (HTML),Vendor,Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Cost per item,Included / United States,Category,Category handle,Sub-category,Sub-category handle,Collection,Metafield: game_stats.players [single_line_text_field],Metafield: game_stats.time [single_line_text_field],Metafield: game_stats.age [single_line_text_field],Metafield: game_stats.baby_cthulhus [number_integer],Metafield: game_stats.game_type [single_line_text_field],Metafield: game_stats.theme [single_line_text_field],Status,Game Line,Game Line Handle
eldritch-gate-pack-o3,Eldritch Gate Pack O3,CW-U9-O3,The most indispensable bling pack for Cthulhu Wars! 22 Summoning Gates in gray and one in each Faction color (except Bubastis and Daemon Sultan).,Petersen Games,Cthulhu Wars,"Cthulhu Wars, asymmetric,strategy,cosmic-horror,lovecraftian,horror,expansion,category-accessories,subcategory-deluxe-upgrade",TRUE,,,,,,,1940,shopify,10,deny,manual,33.99,49.99,TRUE,TRUE,680569977656,https://petersengames.com/wp-content/uploads/2019/06/Eldritch-Gate-Pack-300x300.jpg,1,Eldritch Gate Pack O3,FALSE,Eldritch Gate Pack O3 | Petersen Games,The most indispensable bling pack for Cthulhu Wars! 22 Summoning Gates in gray and one in each Faction color (except Bubastis and Daemon Sultan).,,,,TRUE,Bling & Accessories,category-accessories,Deluxe Upgrade,subcategory-deluxe-upgrade,cthulhu-wars,n/a,n/a,n/a,n/a,Asymmetric Strategy,Cosmic Horror,active,Cthulhu Wars,cthulhu-wars
elemental-blister-pack,Elemental Blister Pack,RPG-PA-23,"Not the earth-air-fire-water elemental of Greek lore, this is the malign inhuman being of psychic fame. Oft-invisible and wholly evil, it is given over to its passions and desires.",Petersen Games,Miniature Blister Pack,"Miniature Blister Pack, rpg,strategy",TRUE,,,,,,,97,shopify,10,deny,manual,8.99,8.99,TRUE,TRUE,793611930902,https://petersengames.com/wp-content/uploads/2020/12/Elemental.jpg,1,Elemental Blister Pack,FALSE,Elemental Blister Pack | Petersen Games,"Not the earth-air-fire-water elemental of Greek lore, this is the malign inhuman being of psychic fame. Oft-invisible and wholly evil, it is given over to its p...",,,,TRUE,Miniatures (New Primary Category),,Planet Apocalypse Miniatures,,all,n/a,n/a,n/a,n/a,Miniature,Apocalyptic Horror,active,Miniature Blister Pack,miniature-blister-pack
evacuate,Evacuate,WG6,Evacuate is a community deck-building game where players use social deduction to outwit the other players and reach the Evacuation Transport with the most Survivors.,Petersen Games,Evacuate,"Evacuate, strategy,tactical,category-core-games,subcategory-board-games",TRUE,,,,,,,870,shopify,10,deny,manual,33.99,39.99,TRUE,TRUE,793611931206,https://petersengames.com/wp-content/uploads/2021/05/Evacuate-Product-1050.png,1,Evacuate,FALSE,Evacuate | Petersen Games,Evacuate is a community deck-building game where players use social deduction to outwit the other players and reach the Evacuation Transport with the most Survi...,,,,TRUE,Core Game,category-core-games,Board Games,subcategory-board-games,all,2-6 players,30 min,14,2,Tactical Survival,sci-fi,active,Evacuate,evacuate
evil-high-priest,Evil High Priest,EHP,"YOUR CULT AWAITS. YOUR ELDER GOD HUNGERS. YOUR RIVALS MUST FALL.Lead your cult to summon an Elder God before your rivals in this perfectly balanced blend of resource management and dark comedy. Evil High Priest proves that world domination can be both strategic and hilarious!Dark Humor Meets Deep Strategy:Manage resources, perform rituals, and sabotage rivals as you race to summon your Elder God. With genuine laugh-out-loud moments in cards and rules, this is strategy gaming that doesn't take itself too seriously.Cultist's Kit Includes:Game board showing cult sites worldwide5 unique Elder God boards with different powersWooden cultist meeplesResource tokens and ritual cardsRules that are actually fun to read",Petersen Games,Evil High Priest,"Evil High Priest, cosmic-horror,lovecraftian,horror,strategy,category-core-games,subcategory-board-games",TRUE,,,,,,,1800,shopify,10,deny,manual,49.99,59.99,TRUE,TRUE,680569978134,https://petersengames.com/wp-content/uploads/2019/03/EHP-Core-Box-Render.jpg,1,Evil High Priest,FALSE,Evil High Priest | Petersen Games,YOUR CULT AWAITS. YOUR ELDER GOD HUNGERS. YOUR RIVALS MUST FALL.Lead your cult to summon an Elder God before your rivals in this perfectly balanced blend of res...,,,,TRUE,Core Game,category-core-games,Board Games,subcategory-board-games,cthulhu-wars,2-5 players,45 min,14,3,Worker Placement,Cosmic Horror,active,Evil High Priest,evil-high-priest
exclusive-japanese-super-expansion,Exclusive Japanese SUPER EXPANSION,CWO3-JP-1,"Unique expansion on for Japan edition of Cthulhu Wars. Contains the 6-8 Player Earth Map plus four expansion Factions- Opener of the Way, Sleeper, Windwalker, and the Tcho-tchos",Petersen Games,Cthulhu Wars,"Cthulhu Wars, asymmetric,strategy,cosmic-horror,lovecraftian,horror,expansion,category-expansions,subcategory-expansion-packs",TRUE,,,,,,,6200,shopify,10,deny,manual,179,199,TRUE,TRUE,N/A,https://petersengames.com/wp-content/uploads/2019/03/cropped-petersen-games-Logo.png,1,Exclusive Japanese SUPER EXPANSION,FALSE,Exclusive Japanese SUPER EXPANSION | Petersen Games,"Unique expansion on for Japan edition of Cthulhu Wars. Contains the 6-8 Player Earth Map plus four expansion Factions- Opener of the Way, Sleeper, Windwalker, a...",,,,TRUE,Game Expansions,category-expansions,Expansion Packs,subcategory-expansion-packs,cthulhu-wars,2-8 players,n/a,n/a,n/a,Asymmetric Strategy,Cosmic Horror,active,Cthulhu Wars,cthulhu-wars
exclusive-pack,Exclusive Pack,OMD-Exclusives,Exclusive PackSpecial Kickstarter exclusives for Orcs Must Die!This expansion enhances your gaming experience with new strategic options and high-quality components.,Petersen Games,Orcs Must Die!,"Orcs Must Die!, cooperative,strategy,tactical,tower-defense,expansion,category-expansions,subcategory-expansion-packs",TRUE,,,,,,,120,shopify,10,deny,manual,12.99,24.99,TRUE,TRUE,N/A,https://petersengames.com/wp-content/uploads/2019/03/OMD-100-Glow-Skulls.jpg,1,Exclusive Pack,FALSE,Exclusive Pack | Petersen Games,Exclusive PackSpecial Kickstarter exclusives for Orcs Must Die!This expansion enhances your gaming experience with new strategic options and high-quality compon...,,,,TRUE,Game Expansions,category-expansions,Expansion Packs,subcategory-expansion-packs,expansions,n/a,n/a,n/a,n/a,Tower Defense Co-op,Fantasy,active,Orcs Must Die!,orcs-must-die
extra-evil-high-priest-dice,Extra Evil High Priest Dice,EHP-DICE,"YOUR CULT AWAITS. YOUR ELDER GOD HUNGERS. YOUR RIVALS MUST FALL.Lead your cult to summon an Elder God before your rivals in this perfectly balanced blend of resource management and dark comedy. Evil High Priest proves that world domination can be both strategic and hilarious!Dark Humor Meets Deep Strategy:Manage resources, perform rituals, and sabotage rivals as you race to summon your Elder God. With genuine laugh-out-loud moments in cards and rules, this is strategy gaming that doesn't take itself too seriously.Cultist's Kit Includes:Game board showing cult sites worldwide5 unique Elder God boards with different powersWooden cultist meeplesResource tokens and ritual cardsRules that are actually fun to read",Petersen Games,Evil High Priest,"Evil High Priest, cosmic-horror,lovecraftian,horror,expansion,dice,accessories,category-accessories,subcategory-dice-sets",TRUE,,,,,,,10,shopify,10,deny,manual,0.99,0.99,TRUE,TRUE,N/A,https://petersengames.com/wp-content/uploads/2019/03/cropped-petersen-games-Logo.png,1,Extra Evil High Priest Dice,FALSE,Extra Evil High Priest Dice | Petersen Games,YOUR CULT AWAITS. YOUR ELDER GOD HUNGERS. YOUR RIVALS MUST FALL.Lead your cult to summon an Elder God before your rivals in this perfectly balanced blend of res...,,,,TRUE,Bling & Accessories,category-accessories,Dice Sets,subcategory-dice-sets,cthulhu-wars,n/a,n/a,n/a,n/a,Worker Placement,Cosmic Horror,active,Evil High Priest,evil-high-priest
father-dagon-blister-pack,Father Dagon Blister Pack,RPG-GOO2-N23,"Father Dagon- The ultimate development of the Deep One ruling class, Father Dagon is a title that rotates, given to the current most-powerful deep one male.",Petersen Games,Miniature Blister Pack,"Miniature Blister Pack, rpg,strategy",TRUE,,,,,,,194,shopify,10,deny,manual,8.99,8.99,TRUE,TRUE,793611929890,https://petersengames.com/wp-content/uploads/2019/11/RPG-GOO2-N23-Father-Dagon.png,1,Father Dagon Blister Pack,FALSE,Father Dagon Blister Pack | Petersen Games,"Father Dagon- The ultimate development of the Deep One ruling class, Father Dagon is a title that rotates, given to the current most-powerful deep one male.",,,,TRUE,Miniatures (New Primary Category),,Cthulhu Mythos Miniatures,,all,n/a,n/a,n/a,n/a,Miniature,Cosmic Horror,active,Miniature Blister Pack,miniature-blister-pack
fiend-blister-pack,Fiend Blister Pack,RPG-PA-12,"The Second Circle of demons, aggressive brutes, brandish their snapping, writhing skeletoy weapon. Remember, nothing in Hell is dead or inert.",Petersen Games,Miniature Blister Pack,"Miniature Blister Pack, rpg,strategy",TRUE,,,,,,,35,shopify,10,deny,manual,5.99,5.99,TRUE,TRUE,793611930810,https://petersengames.com/wp-content/uploads/2020/12/Fiend.jpg,1,Fiend Blister Pack,FALSE,Fiend Blister Pack | Petersen Games,"The Second Circle of demons, aggressive brutes, brandish their snapping, writhing skeletoy weapon. Remember, nothing in Hell is dead or inert.",,,,TRUE,Miniatures (New Primary Category),,Planet Apocalypse Miniatures,,all,n/a,n/a,n/a,n/a,Miniature,Apocalyptic Horror,active,Miniature Blister Pack,miniature-blister-pack
flying-polyp-blister-pack,Flying Polyp Blister Pack,RPG-CG-B2,"Flying Polyp- A horrible elder being, utterly alien. It is only partly material – as we understand matter. It preys horribly upon all earth life.",Petersen Games,Miniature Blister Pack,"Miniature Blister Pack, rpg,strategy",TRUE,,,,,,,110,shopify,10,deny,manual,7.49,7.49,TRUE,TRUE,793611929906,https://petersengames.com/wp-content/uploads/2019/11/FlyingPolyp_BlisterPack.png,1,Flying Polyp Blister Pack,FALSE,Flying Polyp Blister Pack | Petersen Games,"Flying Polyp- A horrible elder being, utterly alien. It is only partly material – as we understand matter. It preys horribly upon all earth life.",,,,TRUE,Miniatures (New Primary Category),,Cthulhu Mythos Miniatures,,all,n/a,n/a,n/a,n/a,Miniature,Cosmic Horror,active,Miniature Blister Pack,miniature-blister-pack
formless-spawn-blister-pack,Formless Spawn Blister Pack,RPG-F2-O3,Formless Spawn- “The explorers found living things that oozed along stone channels and worshiped the toad-thing Tsathoggua. Those who escaped alive sealed the passage leading to the Formless Spawn’s realm of nether horror.” - H. P. Lovecraft,Petersen Games,Miniature Blister Pack,"Miniature Blister Pack, rpg,strategy",TRUE,,,,,,,90,shopify,10,deny,manual,7.99,7.99,TRUE,TRUE,793611929913,https://petersengames.com/wp-content/uploads/2019/11/FormlessSpawn_BlisterPack.png,1,Formless Spawn Blister Pack,FALSE,Formless Spawn Blister Pack | Petersen Games,Formless Spawn- “The explorers found living things that oozed along stone channels and worshiped the toad-thing Tsathoggua. Those who escaped alive sealed the p...,,,,TRUE,Miniatures (New Primary Category),,Cthulhu Mythos Miniatures,,all,n/a,n/a,n/a,n/a,Miniature,Cosmic Horror,active,Miniature Blister Pack,miniature-blister-pack
fungi-from-yuggoth-blister-pack,Fungi from Yuggoth Blister Pack,RPG-CG-R2,Fungi From Yuggoth- A crustacean-like fungus being from the stars. The species visits earth for purposes undreamed-of.,Petersen Games,Miniature Blister Pack,"Miniature Blister Pack, rpg,strategy",TRUE,,,,,,,92,shopify,10,deny,manual,7.49,7.49,TRUE,TRUE,793611929920,https://petersengames.com/wp-content/uploads/2019/11/FungiFromYuggoth_BlisterPack.png,1,Fungi from Yuggoth Blister Pack,FALSE,Fungi from Yuggoth Blister Pack | Petersen Games,Fungi From Yuggoth- A crustacean-like fungus being from the stars. The species visits earth for purposes undreamed-of.,,,,TRUE,Miniatures (New Primary Category),,Cthulhu Mythos Miniatures,,all,n/a,n/a,n/a,n/a,Miniature,Cosmic Horror,active,Miniature Blister Pack,miniature-blister-pack
gadarene-blister-pack,Gadarene Blister Pack,RPG-PA-29,"Racing around crazily, the maddened Gadarene spreads its animal fears and stupidity to all around, bringing them down to its level.",Petersen Games,Miniature Blister Pack,"Miniature Blister Pack, rpg,strategy",TRUE,,,,,,,104,shopify,10,deny,manual,8.99,8.99,TRUE,TRUE,793611930957,https://petersengames.com/wp-content/uploads/2020/12/Gadarene.jpg,1,Gadarene Blister Pack,FALSE,Gadarene Blister Pack | Petersen Games,"Racing around crazily, the maddened Gadarene spreads its animal fears and stupidity to all around, bringing them down to its level.",,,,TRUE,Miniatures (New Primary Category),,Planet Apocalypse Miniatures,,all,n/a,n/a,n/a,n/a,Miniature,Apocalyptic Horror,active,Miniature Blister Pack,miniature-blister-pack
gates,Gates,CW-U4,GatesPlastic gates to upgrade the look of your gameThis expansion enhances your gaming experience with new strategic options and high-quality components.,Petersen Games,Cthulhu Wars,"Cthulhu Wars, asymmetric,strategy,cosmic-horror,lovecraftian,horror,expansion,category-accessories,subcategory-deluxe-upgrade",TRUE,,,,,,,930,shopify,10,deny,manual,24.99,29.99,TRUE,TRUE,N/A,https://petersengames.com/wp-content/uploads/2019/03/PlasticGatess.jpg,1,Gates,FALSE,Gates | Petersen Games,GatesPlastic gates to upgrade the look of your gameThis expansion enhances your gaming experience with new strategic options and high-quality components....,,,,TRUE,Bling & Accessories,category-accessories,Deluxe Upgrade,subcategory-deluxe-upgrade,cthulhu-wars,n/a,n/a,n/a,n/a,Asymmetric Strategy,Cosmic Horror,active,Cthulhu Wars,cthulhu-wars
geryon-blister-pack,Geryon Blister Pack,RPG-PA-39,"Three bodies and three heads, each delivering a different curse and hosting a different evil power. You must kill all three to stop the Thing.",Petersen Games,Miniature Blister Pack,"Miniature Blister Pack, rpg,strategy",TRUE,,,,,,,74,shopify,10,deny,manual,8.99,14.99,TRUE,TRUE,793611931039,https://petersengames.com/wp-content/uploads/2020/12/geryon.jpg,1,Geryon Blister Pack,FALSE,Geryon Blister Pack | Petersen Games,"Three bodies and three heads, each delivering a different curse and hosting a different evil power. You must kill all three to stop the Thing.",,,,TRUE,Miniatures (New Primary Category),,Planet Apocalypse Miniatures,,all,n/a,n/a,n/a,n/a,Miniature,Apocalyptic Horror,active,Miniature Blister Pack,miniature-blister-pack
ghast-blister-pack,Ghast Blister Pack,RPG-U2-N13,"Ghast- A repulsive and primitive underworld being, scabrous and unwholesome, and, unfortunately, carnivorous.",Petersen Games,Miniature Blister Pack,"Miniature Blister Pack, rpg,strategy",TRUE,,,,,,,73,shopify,10,deny,manual,5.99,5.99,TRUE,TRUE,793611929937,https://petersengames.com/wp-content/uploads/2019/11/Ghast_BlisterPack.png,1,Ghast Blister Pack,FALSE,Ghast Blister Pack | Petersen Games,"Ghast- A repulsive and primitive underworld being, scabrous and unwholesome, and, unfortunately, carnivorous.",,,,TRUE,Miniatures (New Primary Category),,Cthulhu Mythos Miniatures,,all,n/a,n/a,n/a,n/a,Miniature,Cosmic Horror,active,Miniature Blister Pack,miniature-blister-pack
ghatanothoa-blister-pack,Ghatanothoa Blister Pack,RPG-GOO2-N24,"Ghatanothoa- Is it somehow related to Great Cthulhu? Or something worse? The emanations of this great old one, or even its image, mummify the viewer. This Ghatanothoa figure is guaranteed to have a tiny flaw, thus protecting you from the mummification process.",Petersen Games,Miniature Blister Pack,"Miniature Blister Pack, rpg,strategy",TRUE,,,,,,,280,shopify,10,deny,manual,8.99,19.99,TRUE,TRUE,793611929944,https://petersengames.com/wp-content/uploads/2019/11/Ghatanothoa_BlisterPack.png,1,Ghatanothoa Blister Pack,FALSE,Ghatanothoa Blister Pack | Petersen Games,"Ghatanothoa- Is it somehow related to Great Cthulhu? Or something worse? The emanations of this great old one, or even its image, mummify the viewer. This Ghata...",,,,TRUE,Miniatures (New Primary Category),,Cthulhu Mythos Miniatures,,all,n/a,n/a,n/a,n/a,Miniature,Cosmic Horror,active,Miniature Blister Pack,miniature-blister-pack
ghoul-blister-pack,Ghoul Blister Pack,RPG-CG-R1,"Ghoul- Half human, half demon, the ghoul of Lovecraft’s imagination is no mere undead, but far worse.",Petersen Games,Miniature Blister Pack,"Miniature Blister Pack, rpg,strategy",TRUE,,,,,,,90,shopify,10,deny,manual,5.99,5.99,TRUE,TRUE,793611929951,https://petersengames.com/wp-content/uploads/2019/11/Ghoul_BlisterPack.png,1,Ghoul Blister Pack,FALSE,Ghoul Blister Pack | Petersen Games,"Ghoul- Half human, half demon, the ghoul of Lovecraft’s imagination is no mere undead, but far worse.",,,,TRUE,Miniatures (New Primary Category),,Cthulhu Mythos Miniatures,,all,n/a,n/a,n/a,n/a,Miniature,Cosmic Horror,active,Miniature Blister Pack,miniature-blister-pack
